// char left top right bottom
0 9 7 34 42
1 43 7 53 42
2 62 7 86 42
3 95 7 119 42
4 126 7 151 42
5 158 7 183 42
6 190 7 215 42
7 223 7 247 42
8 254 7 279 42
9 286 7 311 42

a 9 55 33 90
A 9 55 33 90
b 41 55 66 90
B 41 55 66 90
c 73 55 97 90
C 73 55 97 90
d 105 55 130 90
D 105 55 130 90
e 137 55 161 90
E 137 55 161 90
f 169 55 193 90
F 169 55 193 90
g 201 55 226 90
G 201 55 226 90
h 233 55 258 90
H 233 55 258 90
i 267 55 277 90
I 267 55 277 90
j 286 55 311 90
J 286 55 311 90
k 318 55 343 90
K 318 55 343 90
l 350 55 374 90
L 350 55 374 90
m 382 55 407 90
M 382 55 407 90
n 414 55 439 90
N 414 55 439 90
o 446 55 471 90
O 446 55 471 90
p 9 102 34 137
P 9 102 34 137
q 41 102 66 137
Q 41 102 66 137
r 73 102 98 137
R 73 102 98 137
s 105 102 130 137
S 105 102 130 137
t 137 102 161 137
T 137 102 161 137
u 169 102 194 137
U 169 102 194 137
v 201 102 226 137
V 201 102 226 137
w 233 102 258 137
W 233 102 258 137
x 265 102 290 137
X 265 102 290 137
y 297 102 322 137
Y 297 102 322 137
z 329 102 353 137
Z 329 102 353 137
