// balls reserved_balls_number
balls 5

// platform_scale x y
platform_scale 1.5 0.3

// short_platform_scale x y
short_platform_scale 1.0 0.2

// long_platform_scale x y
long_platform_scale 2.0 0.4

// gravity x y
gravity 0.0 -7.0

// gravity_left x y
gravity_left -3.0 -7.0

// gravity_right x y
gravity_right 3.0 -7.0

// bonus_time platform_bonus_time gravity_bonus_time time_bonus_time
bonus_time 20 20 20

// velocity_loss_wall value
velocity_loss_wall 0.05

// velocity_loss_platform value
velocity_loss_platform 0.2

// surf_friction_coef_wall value
surf_friction_coef_wall 0.05

// surf_friction_coef_platform value
surf_friction_coef_platform 0.15

// clouds alpha vx vy
clouds 0.5 0.1 0.1

// brick brick1_type life velocity_loss surf_friction_coef scale_x scale_y pos_x pos_y angle_in_degrees points is_static bonus
brick brick11 1 0.05 0.05 0.9 0.3 5.0 9.1 90 20 0 0
brick brick11 1 0.05 0.05 0.9 0.3 5.6 9.0 115 20 0 4
brick brick11 1 0.05 0.05 0.9 0.3 4.4 9.0 65 20 0 5
brick brick6 1 0.05 0.05 0.9 0.3 5.0 8.4 0 20 0 0
brick brick6 1 0.05 0.05 0.9 0.3 5.0 8.1 0 20 0 1

brick brick1 1 0.05 0.05 0.9 0.3 6.4 8.7 0 20 0 3
brick brick1 1 0.05 0.05 0.9 0.3 6.4 8.3 0 20 0 0
brick brick1 1 0.05 0.05 0.9 0.3 7.3 8.7 0 20 0 6
brick brick1 1 0.05 0.05 0.9 0.3 7.3 8.4 0 20 0 8

brick brick1 1 0.05 0.05 0.9 0.3 3.6 8.7 0 20 0 0
brick brick1 1 0.05 0.05 0.9 0.3 3.6 8.3 0 20 0 4
brick brick1 1 0.05 0.05 0.9 0.3 2.7 8.7 0 20 0 0
brick brick1 1 0.05 0.05 0.9 0.3 2.7 8.4 0 20 0 3

brick brick1 1 0.05 0.05 0.9 0.3 5.9 7.6 90 20 0 0
brick brick1 1 0.05 0.05 0.9 0.3 5.5 7.0 0 20 0 2
brick brick1 1 0.05 0.05 0.9 0.3 5.5 6.7 0 20 0 0
brick brick1 1 0.05 0.05 0.9 0.3 5.5 6.4 0 20 0 2
brick brick1 1 0.05 0.05 0.9 0.3 5.5 6.0 0 20 0 7
brick brick1 1 0.05 0.05 0.9 0.3 5.5 5.7 0 20 0 0

brick brick1 1 0.05 0.05 0.9 0.3 4.5 7.0 0 20 0 4
brick brick1 1 0.05 0.05 0.9 0.3 4.5 6.7 0 20 0 7
brick brick1 1 0.05 0.05 0.9 0.3 4.5 6.4 0 20 0 0
brick brick1 1 0.05 0.05 0.9 0.3 4.5 6.0 0 20 0 0
brick brick1 1 0.05 0.05 0.9 0.3 4.5 5.7 0 20 0 2

brick brick1 1 0.05 0.05 0.9 0.3 5.7 5.1 90 20 0 5
brick brick1 1 0.05 0.05 0.9 0.3 5.3 5.1 90 20 0 0

brick brick1 1 0.05 0.05 0.9 0.3 4.3 5.1 90 20 0 5
brick brick1 1 0.05 0.05 0.9 0.3 4.7 5.1 90 20 0 0

brick brick24 1 0.05 0.05 0.9 0.3 3.8 6.8 90 20 0 0
brick brick11 1 0.05 0.05 0.9 0.3 4.1 7.7 45 20 0 4

brick brick1 1 0.05 0.05 0.9 0.3 5.0 7.3 0 20 0 7

brick brick4 1 0.05 0.05 0.9 0.3 0.5 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 1.0 4.2 45 20 0 6
brick brick4 1 0.05 0.05 0.9 0.3 1.5 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 2.0 4.2 45 20 0 5
brick brick4 1 0.05 0.05 0.9 0.3 2.5 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 3.0 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 3.5 4.2 45 20 0 3
brick brick4 1 0.05 0.05 0.9 0.3 4.0 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 4.5 4.2 45 20 0 7
brick brick4 1 0.05 0.05 0.9 0.3 5.0 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 5.5 4.2 45 20 0 6
brick brick4 1 0.05 0.05 0.9 0.3 6.0 4.2 45 20 0 4
brick brick4 1 0.05 0.05 0.9 0.3 6.5 4.2 45 20 0 3
brick brick4 1 0.05 0.05 0.9 0.3 7.0 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 7.5 4.2 45 20 0 7
brick brick4 1 0.05 0.05 0.9 0.3 8.0 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 8.5 4.2 45 20 0 0
brick brick4 1 0.05 0.05 0.9 0.3 9.0 4.2 45 20 0 1
brick brick4 1 0.05 0.05 0.9 0.3 9.5 4.2 45 20 0 0
